name,age,city,salary
Aisha,22.0,Pune,
Sara,22.0,Chennai,
John,24.0,Delhi,70000.0
Sara,,Bangalore,40000.0
Karan,24.0,Mumbai,70000.0
Priya,22.0,Chennai,
Karan,,Mumbai,70000.0
Rahul,24.0,Chennai,70000.0
Ali,25.0,Bangalore,50000.0
Priya,25.0,Chennai,
Daniyal,22.0,Bangalore,70000.0
Aisha,20.0,Hyderabad,
Rahul,,Bangalore,70000.0
Karan,22.0,Pune,40000.0
Daniyal,25.0,Bangalore,50000.0
Ali,22.0,Mumbai,50000.0
Sara,,Pune,70000.0
Sara,23.0,Delhi,70000.0
Ali,23.0,Delhi,
John,25.0,Pune,
Rahul,22.0,Mumbai,60000.0
Daniyal,,,50000.0
Aisha,20.0,Delhi,70000.0
Sara,24.0,Pune,50000.0
Ali,,Delhi,70000.0
Aisha,20.0,Delhi,40000.0
Ali,,Chennai,60000.0
Ali,21.0,Delhi,70000.0
Priya,20.0,Mumbai,
Priya,20.0,Hyderabad,
Aisha,20.0,Delhi,60000.0
Ali,22.0,,60000.0
Aisha,20.0,Mumbai,
Karan,25.0,Hyderabad,50000.0
John,21.0,Chennai,50000.0
Priya,23.0,Delhi,70000.0
Priya,25.0,Hyderabad,60000.0
Rahul,22.0,Bangalore,70000.0
Rahul,20.0,Hyderabad,50000.0
Karan,22.0,Chennai,40000.0
Karan,22.0,Delhi,60000.0
Karan,,,50000.0
Aisha,25.0,Mumbai,60000.0
Ali,25.0,Mumbai,50000.0
Ali,22.0,Hyderabad,60000.0
Daniyal,24.0,,60000.0
Priya,20.0,Delhi,50000.0
Sara,21.0,Chennai,40000.0
Priya,25.0,Hyderabad,50000.0
Karan,,Hyderabad,40000.0
Daniyal,24.0,Bangalore,40000.0
John,20.0,Pune,70000.0
Karan,22.0,Bangalore,70000.0
Aisha,20.0,Pune,50000.0
Priya,23.0,Hyderabad,
Karan,,Bangalore,60000.0
Ali,24.0,Hyderabad,
John,24.0,Chennai,50000.0
Sara,22.0,Mumbai,50000.0
Sara,21.0,Delhi,40000.0
Aisha,25.0,Chennai,70000.0
Aisha,21.0,Hyderabad,60000.0
Daniyal,22.0,Pune,60000.0
Priya,23.0,Bangalore,70000.0
Rahul,23.0,,70000.0
Priya,21.0,Bangalore,70000.0
Karan,,Hyderabad,70000.0
Ali,25.0,Chennai,
Rahul,22.0,Hyderabad,60000.0
Karan,23.0,Chennai,70000.0
John,25.0,Pune,60000.0
John,20.0,,50000.0
Sara,23.0,,
Priya,,Bangalore,40000.0
Rahul,22.0,Chennai,60000.0
Daniyal,23.0,Chennai,
John,24.0,Hyderabad,
Aisha,23.0,,50000.0
Ali,23.0,Hyderabad,40000.0
John,23.0,Mumbai,60000.0
Aisha,21.0,Mumbai,
Aisha,22.0,Mumbai,
Sara,22.0,Chennai,40000.0
John,22.0,Delhi,60000.0
Ali,20.0,Bangalore,70000.0
Karan,23.0,Delhi,60000.0
Rahul,23.0,Pune,
Ali,24.0,Chennai,50000.0
Sara,20.0,Hyderabad,50000.0
Ali,25.0,Chennai,50000.0
Ali,20.0,Mumbai,40000.0
Daniyal,24.0,Delhi,40000.0
Priya,20.0,Pune,60000.0
Aisha,,Delhi,60000.0
Daniyal,21.0,Hyderabad,70000.0
Sara,20.0,Delhi,60000.0
John,22.0,Chennai,40000.0
Sara,24.0,Mumbai,60000.0
Priya,24.0,Hyderabad,40000.0
Karan,22.0,Pune,50000.0
Ali,23.0,Chennai,40000.0
Daniyal,,Chennai,
Priya,22.0,Pune,
Daniyal,20.0,,50000.0
Karan,22.0,Delhi,60000.0
Daniyal,23.0,Chennai,40000.0
Priya,21.0,Pune,70000.0
John,,Hyderabad,50000.0
Sara,24.0,Mumbai,
Ali,23.0,,60000.0
Sara,20.0,Mumbai,60000.0
John,22.0,,40000.0
Daniyal,24.0,Pune,70000.0
Karan,25.0,Pune,60000.0
Daniyal,24.0,Bangalore,
Sara,,Chennai,
Ali,23.0,,40000.0
Rahul,25.0,Bangalore,
Ali,21.0,Hyderabad,70000.0
John,22.0,Mumbai,40000.0
Karan,23.0,Bangalore,70000.0
Rahul,23.0,Pune,40000.0
Aisha,24.0,Hyderabad,70000.0
John,24.0,Delhi,40000.0
Aisha,22.0,Hyderabad,40000.0
Rahul,21.0,Hyderabad,40000.0
Aisha,22.0,,40000.0
Aisha,25.0,Pune,
Aisha,23.0,,70000.0
John,23.0,Hyderabad,40000.0
Ali,25.0,Bangalore,
Ali,22.0,Hyderabad,
Aisha,22.0,,60000.0
Aisha,21.0,Hyderabad,70000.0
Aisha,23.0,Delhi,40000.0
Rahul,25.0,Hyderabad,40000.0
Sara,21.0,Chennai,
Ali,22.0,Hyderabad,70000.0
Sara,23.0,,70000.0
Ali,24.0,Bangalore,40000.0
Daniyal,,Delhi,70000.0
Daniyal,20.0,,50000.0
Daniyal,20.0,Chennai,60000.0
Karan,23.0,Hyderabad,40000.0
Aisha,20.0,Chennai,50000.0
Sara,22.0,Pune,40000.0
Ali,20.0,Chennai,60000.0
Ali,,,70000.0
Ali,20.0,Hyderabad,70000.0
Ali,23.0,Chennai,
Priya,22.0,Pune,
Priya,21.0,Bangalore,60000.0
Daniyal,25.0,Delhi,50000.0
John,25.0,,40000.0
Sara,21.0,Delhi,60000.0
John,,Pune,50000.0
Priya,20.0,Delhi,
Priya,22.0,Mumbai,50000.0
Priya,20.0,Delhi,50000.0
Daniyal,23.0,Mumbai,60000.0
Aisha,22.0,,40000.0
Daniyal,21.0,Hyderabad,40000.0
Ali,25.0,Delhi,70000.0
Ali,,Hyderabad,
Sara,21.0,Delhi,70000.0
Daniyal,25.0,Delhi,70000.0
Rahul,,Mumbai,
Aisha,25.0,Mumbai,60000.0
Karan,24.0,Mumbai,
Rahul,21.0,Pune,
Sara,,Delhi,60000.0
Rahul,21.0,Chennai,
Karan,23.0,,70000.0
John,20.0,Bangalore,60000.0
Rahul,23.0,Pune,70000.0
Ali,24.0,Bangalore,60000.0
Priya,20.0,Hyderabad,70000.0
Rahul,23.0,Hyderabad,40000.0
Ali,25.0,Bangalore,60000.0
John,22.0,Delhi,50000.0
Aisha,23.0,Bangalore,40000.0
Karan,23.0,Mumbai,50000.0
Sara,24.0,,50000.0
Rahul,,Mumbai,70000.0
Priya,21.0,Pune,
Ali,25.0,Hyderabad,60000.0
Sara,23.0,Delhi,70000.0
John,,Mumbai,70000.0
Aisha,23.0,Pune,50000.0
Priya,,Bangalore,60000.0
Rahul,21.0,Mumbai,50000.0
Daniyal,22.0,Pune,50000.0
Sara,22.0,Delhi,60000.0
Aisha,24.0,Delhi,70000.0
Rahul,23.0,Hyderabad,
Ali,24.0,Delhi,50000.0
Karan,21.0,Mumbai,60000.0
Priya,22.0,Chennai,
Rahul,24.0,Bangalore,
John,25.0,Pune,
Ali,21.0,Hyderabad,60000.0
Aisha,24.0,Mumbai,
Rahul,21.0,Hyderabad,40000.0
Rahul,22.0,,60000.0
Daniyal,,,40000.0
Priya,20.0,Mumbai,60000.0
Aisha,,Pune,60000.0
John,24.0,Bangalore,40000.0
Priya,24.0,Pune,40000.0
Aisha,23.0,Pune,60000.0
Aisha,25.0,Bangalore,70000.0
Sara,20.0,Delhi,50000.0
John,20.0,Hyderabad,50000.0
Ali,,Bangalore,40000.0
Priya,23.0,Bangalore,
Priya,21.0,,50000.0
