name,age,city,salary
Rahul,25.0,Mumbai,70000.0
Rahul,,Pune,60000.0
John,20.0,,50000.0
Priya,24.0,Mumbai,60000.0
Karan,21.0,Pune,70000.0
Aisha,23.0,,70000.0
Rahul,22.0,Bangalore,
Aisha,24.0,Mumbai,50000.0
Sara,23.0,,70000.0
John,22.0,Delhi,40000.0
Karan,20.0,Mumbai,40000.0
Sara,,Bangalore,70000.0
Sara,22.0,Chennai,
Daniyal,20.0,Chennai,40000.0
Aisha,24.0,Bangalore,
Karan,25.0,Bangalore,40000.0
Sara,21.0,,40000.0
Daniyal,23.0,Chennai,70000.0
Ali,23.0,,70000.0
Priya,22.0,,50000.0
John,23.0,Chennai,50000.0
Ali,22.0,Hyderabad,60000.0
Daniyal,24.0,Delhi,
John,23.0,,
John,22.0,Pune,70000.0
Sara,25.0,Bangalore,50000.0
Karan,24.0,,50000.0
Ali,22.0,Delhi,60000.0
Daniyal,25.0,Hyderabad,40000.0
Aisha,20.0,Delhi,70000.0
Sara,23.0,Bangalore,
Rahul,23.0,Bangalore,
Daniyal,22.0,Bangalore,50000.0
Daniyal,20.0,Hyderabad,70000.0
John,20.0,Pune,40000.0
Priya,25.0,Pune,50000.0
Priya,24.0,Delhi,50000.0
Sara,25.0,,50000.0
Priya,20.0,Hyderabad,70000.0
Priya,23.0,Bangalore,50000.0
Ali,20.0,,
Priya,22.0,Bangalore,70000.0
Aisha,,Mumbai,70000.0
Priya,24.0,Delhi,70000.0
Ali,21.0,Hyderabad,60000.0
Ali,22.0,Hyderabad,50000.0
Karan,25.0,Hyderabad,70000.0
Ali,23.0,,70000.0
Sara,,Mumbai,70000.0
Rahul,24.0,,
Karan,,Pune,60000.0
Priya,,Mumbai,50000.0
John,25.0,Chennai,60000.0
Rahul,22.0,Mumbai,50000.0
Ali,23.0,Pune,50000.0
Karan,24.0,Delhi,60000.0
Priya,,Pune,
Aisha,21.0,,
Rahul,23.0,Delhi,
John,22.0,Mumbai,40000.0
Priya,20.0,Mumbai,40000.0
Rahul,23.0,Delhi,70000.0
John,23.0,Bangalore,
Priya,22.0,Delhi,60000.0
John,23.0,Hyderabad,70000.0
Karan,20.0,Hyderabad,50000.0
Sara,24.0,Chennai,40000.0
Priya,24.0,,50000.0
Ali,23.0,Mumbai,70000.0
Aisha,24.0,Pune,50000.0
Daniyal,24.0,Bangalore,70000.0
Karan,25.0,Mumbai,70000.0
Rahul,25.0,Delhi,50000.0
Karan,23.0,Bangalore,70000.0
Rahul,25.0,Chennai,70000.0
Ali,22.0,Chennai,70000.0
Sara,24.0,Delhi,70000.0
Aisha,23.0,Bangalore,50000.0
John,20.0,,40000.0
Aisha,25.0,Mumbai,
Karan,,,50000.0
Sara,,Bangalore,50000.0
Rahul,24.0,Delhi,50000.0
Karan,20.0,,50000.0
John,22.0,Bangalore,
John,23.0,Delhi,60000.0
Karan,25.0,Mumbai,40000.0
Rahul,22.0,Bangalore,70000.0
Daniyal,24.0,Mumbai,
Ali,24.0,Hyderabad,50000.0
Daniyal,23.0,Chennai,50000.0
Ali,23.0,Bangalore,50000.0
Daniyal,23.0,Chennai,60000.0
John,25.0,Mumbai,60000.0
Ali,23.0,Mumbai,60000.0
Sara,,Pune,40000.0
Daniyal,,Delhi,60000.0
Aisha,23.0,Delhi,
Priya,21.0,Bangalore,60000.0
Sara,,Pune,60000.0
Aisha,21.0,Hyderabad,
Sara,20.0,,50000.0
Aisha,24.0,Mumbai,
John,25.0,Delhi,70000.0
